Día,Mes,Año,Departamento,Municipio,Lugar de Ocurrencia,Tipo de Implicado (1),Tipo de Implicado (2),Nº Víctimas,Fuente,,,,,,
6,5,1981, Antioquia,Mutatá,,Grupo Armado No Identificado,Grupo Armado No Identificado,1,Itinerario de la Represión Oficial y Militar en 1981. Pp.10,,,,,,
10,5,1981,Guaviare ,San José del Guaviare,,Fuerza Pública,Ejército Nacional,1,Itinerario de la Represión Oficial y Militar en 1981. Pp.10,,,,,,
15,5,1981, Antioquia,Puerto Triunfo,,Grupos Paramilitares,Grupos Paramilitares,1,Itinerario de la Represión Oficial y Militar en 1981. Pp.11,,,,,,
16,5,1981, Antioquia,Turbo,,Fuerza Pública,Ejército Nacional,1,Itinerario de la Represión Oficial y Militar en 1981. Pp.11,,,,,,
17,5,1981,Valle del Cauca,Cali,Cabecera Municipal,Fuerza Pública,Ejército Nacional,1,Itinerario de la Represión Oficial y Militar en 1981. Pp.11,,,,,,
17,5,1981,Cauca,Caldono ,,Grupos Paramilitares,Grupos Paramilitares,1,Itinerario de la Represión Oficial y Militar en 1981. Pp.11,,,,,,
19,5,1981, Antioquia,Apartadó,,Grupos Paramilitares,Grupos Paramilitares,1,Itinerario de la Represión Oficial y Militar en 1981. Pp.11,,,,,,
24,5,1981,Huila,Algeciras,,Grupos Paramilitares,Grupos Paramilitares,2,Itinerario de la Represión Oficial y Militar en 1981. Pp.12,,,,,,
26,5,1981,Santander,San Vicente de Chucuri,,Fuerza Pública,Ejército Nacional,1,Itinerario de la Represión Oficial y Militar en 1981. Pp.12,,,,,,
2,6,1981,Santander,Cachinay,,Fuerza Pública,Ejército Nacional,2,Itinerario de la Represión Oficial y Militar en 1981. Pp.13,,,,,,
12,6,1981, Antioquia,Puerto Nare,Vereda La Sierra,Fuerza Pública,Ejército Nacional,1,Itinerario de la Represión Oficial y Militar en 1981. Pp.14,,,,,,
12,6,1981,Caquetá,Puerto Rico,Cabecera Municipal,Fuerza Pública,Ejército Nacional,1,Itinerario de la Represión Oficial y Militar en 1981. Pp.14,,,,,,
12,6,1981,Santander,Vélez,,Fuerza Pública,Ejército Nacional,3,Itinerario de la Represión Oficial y Militar en 1981. Pp.14,,,,,,
15,6,1981,Valle del Cauca,Cali,Cabecera Municipal,Fuerza Pública,Policía Nacional,1,Itinerario de la Represión Oficial y Militar en 1981. Pp.14,,,,,,
17,6,1981,Valle del Cauca,Cali,Cabcera Municipal - Barrio Tres de Mayo,Fuerza Pública,Policía Nacional,1,Itinerario de la Represión Oficial y Militar en 1981. Pp.14,,,,,,
22,6,1981,Cundinamarca,Venecia,Vereda La Reforma,Fuerza Pública,Policía Nacional,2,Itinerario de la Represión Oficial y Militar en 1981. Pp.14,,,,,,
28,6,1981, Antioquia,Mutatá,,Fuerza Pública,Ejército Nacional,1,Itinerario de la Represión Oficial y Militar en 1981. Pp.15,,,,,,
29,6,1981,Santander,Barrancabermeja,,Fuerza Pública,Ejército Nacional,1,Itinerario de la Represión Oficial y Militar en 1981. Pp.15,,,,,,
29,6,1981, Antioquia,San Pedro de Urabá,,Grupos Paramilitares,Grupos Paramilitares,3,Itinerario de la Represión Oficial y Militar en 1981. Pp.15,,,,,,
3,7,1981,Caquetá,Florencia,,Grupos Paramilitares,Grupos Paramilitares,1,Itinerario de la Represión Oficial y Militar en 1981. Pp.15,,,,,,
3,7,1981,Caquetá,Puerto Rico,,Grupos Paramilitares,Grupos Paramilitares,1,Itinerario de la Represión Oficial y Militar en 1981. Pp.15,,,,,,
5,7,1981, Antioquia,Mutatá,Pavarando,Grupos Paramilitares,Grupos Paramilitares,2,Itinerario de la Represión Oficial y Militar en 1981. Pp.15,,,,,,
8,7,1981,Tolima,Planadas,IP Gaitania,Grupos Paramilitares,Grupos Paramilitares,1,Itinerario de la Represión Oficial y Militar en 1981. Pp.15,,,,,,
9,7,1981,Cauca,Tierradentro,,Grupos Paramilitares,Grupos Paramilitares,1,Itinerario de la Represión Oficial y Militar en 1981. Pp.15,,,,,,
20,7,1981,Boyacá,Otanche,,Fuerza Pública,Policía Nacional,2,Itinerario de la Represión Oficial y Militar en 1981. Pp.16,,,,,,
21,7,1981, Antioquia,Turbo,Corregimiento de Currulao - Vereda Turbo,Fuerza Pública,Ejército Nacional,1,Itinerario de la Represión Oficial y Militar en 1981. Pp.16,,,,,,
21,7,1981, Antioquia,,Vereda Coello,Fuerza Pública,Ejército Nacional,1,Itinerario de la Represión Oficial y Militar en 1981. Pp.16,,,,,,
21,7,1981, Antioquia,,Vereda Coello,Fuerza Pública,Ejército Nacional,2,Itinerario de la Represión Oficial y Militar en 1981. Pp.16,,,,,,
22,7,1981,Huila,Pitalito,,Fuerza Pública,Ejército Nacional,1,Itinerario de la Represión Oficial y Militar en 1981. Pp.17,,,,,,
24,7,1981,Cundinamarca,Yacopí,,Grupos Paramilitares,Grupos Paramilitares,1,Itinerario de la Represión Oficial y Militar en 1981. Pp.17,,,,,,
26,7,1981,Caquetá,Florencia,,Fuerza Pública,Ejército Nacional,1,Itinerario de la Represión Oficial y Militar en 1981. Pp.17,,,,,,
31,7,1981,Caquetá,Berlin,,Grupos Paramilitares,Grupos Paramilitares,1,Itinerario de la Represión Oficial y Militar en 1981. Pp.18,,,,,,
4,8,1981, Antioquia,Chigorodó,Vereda León Porroso,Fuerza Pública,Ejército Nacional,1,Itinerario de la Represión Oficial y Militar en 1981. Pp.18,,,,,,
4,8,1981, Antioquia,Turbo,,Fuerza Pública,Ejército Nacional,1,Itinerario de la Represión Oficial y Militar en 1981. Pp.18,,,,,,
10,8,1981,Caquetá,Puerto Rico,,Fuerza Pública,Ejército Nacional,1,Itinerario de la Represión Oficial y Militar en 1981. Pp.18,,,,,,
10,8,1981,Caquetá,San Vicente del Caguán,Cabecera Municipal,Grupo Armado No Identificado,Grupo Armado No Identificado,1,Itinerario de la Represión Oficial y Militar en 1981. Pp.18,,,,,,
11,8,1981, Antioquia,Turbo,,Grupos Paramilitares,Grupos Paramilitares,1,Itinerario de la Represión Oficial y Militar en 1981. Pp.19,,,,,,
19,8,1981,Meta ,Uribe,Vereda Santander,Fuerza Pública,Ejército Nacional,1,Itinerario de la Represión Oficial y Militar en 1981. Pp.19,,,,,,
26,8,1981,Meta,Mesetas,,Fuerza Pública,Ejército Nacional,2,Itinerario de la Represión Oficial y Militar en 1981. Pp.20,,,,,,
31,8,1981, Antioquia,,,Fuerza Pública,Ejército Nacional,2,Itinerario de la Represión Oficial y Militar en 1981. Pp.20,,,,,,
5,9,1981,Meta,San Juan de Arama,Vereda el Jazmín,Fuerza Pública,Ejército Nacional,1,Itinerario de la Represión Oficial y Militar en 1981. Pp.21,,,,,,
5,9,1981,Santander,Cimitarra,,Fuerza Pública,Ejército Nacional,1,Itinerario de la Represión Oficial y Militar en 1981. Pp.21,,,,,,
12,9,1981,Arauca,Saravena,,Fuerza Pública,Ejército Nacional,2,Itinerario de la Represión Oficial y Militar en 1981. Pp.21,,,,,,
20,9,1981,Distrito Capital,Bogotá D.C.,Cabecera Municipal - Barrio las Ferias,Desconocidos,Desconocidos,1,Itinerario de la Represión Oficial y Militar en 1981. Pp.21,,,,,,
28,9,1981,Distrito Capital,Bogotá D.C.,Cabecera Municipal,Desconocidos,Desconocidos,1,Itinerario de la Represión Oficial y Militar en 1981. Pp.22,,,,,,
10,10,1981,Distrito Capital,Bogotá D.C.,,Fuerza Pública,Ejército Nacional,1,Itinerario de la Represión Oficial y Militar en 1981. Pp.23,,,,,,
10,10,1981,Tolima,Icononzo,,Grupos Paramilitares,Grupos Paramilitares,1,Itinerario de la Represión Oficial y Militar en 1981. Pp.23,,,,,,
13,10,1981,Santander,Florián,Zona Rural,Fuerza Pública,Ejército Nacional,1,Itinerario de la Represión Oficial y Militar en 1981. Pp.23,,,,,,
21,10,1981,Putumayo,Puerto Asís,,Fuerza Pública,Policía Nacional,1,Itinerario de la Represión Oficial y Militar en 1981. Pp.26,,,,,,
3,11,1981,Santander,Florián,Vereda Las Delicias,Fuerza Pública,Ejército Nacional,1,Itinerario de la Represión Oficial y Militar en 1981. Pp.27,,,,,,
16,11,1981,Caquetá,Yurayacó,,Fuerza Pública,Ejército Nacional,1,Itinerario de la Represión Oficial y Militar en 1981. Pp.27,,,,,,
19,11,1981, Antioquia,Medellín,,Fuerza Pública,Policía Nacional,1,Itinerario de la Represión Oficial y Militar en 1981. Pp.28,,,,,,
26,11,1981,Caquetá,Curillo,,Fuerza Pública,Ejército Nacional,2,Itinerario de la Represión Oficial y Militar en 1981. Pp.28,,,,,,
28,11,1981,Caquetá,San José del Fragua ,Vereda Sabaleta,Fuerza Pública,Ejército Nacional,1,Itinerario de la Represión Oficial y Militar en 1981. Pp.28,,,,,,
6,12,1981, Antioquia,Caucasia,,Fuerza Pública,Ejército Nacional,1,Itinerario de la Represión Oficial y Militar en 1981. Pp.29,,,,,,
6,12,1981,Caquetá,Curillo,,Fuerza Pública,Ejército Nacional,1,Itinerario de la Represión Oficial y Militar en 1981. Pp.29,,,,,,
6,12,1981,Santander,Suratá,,Fuerza Pública,Ejército Nacional,1,Itinerario de la Represión Oficial y Militar en 1981. Pp.29,,,,,,
7,12,1981, Antioquia,Medellín,Cabecera Municipal,Fuerza Pública,Policía Nacional,2,Itinerario de la Represión Oficial y Militar en 1981. Pp.29,,,,,,
10,12,1981,Santander,Santa Elena del Opón,,Grupos Paramilitares,Grupos Paramilitares,2,Itinerario de la Represión Oficial y Militar en 1981. Pp.29,,,,,,
11,12,1981,Arauca,Fortul,Zona Rural,Grupos Paramilitares,Grupos Paramilitares,2,Itinerario de la Represión Oficial y Militar en 1981. Pp.29,,,,,,
14,12,1981,Caldas,La Dorada,,Desconocidos,Desconocidos,1,Itinerario de la Represión Oficial y Militar en 1981. Pp.30,,,,,,
15,12,1981,Santander,Cimitarra,Zona Rural,Grupos Paramilitares,Grupos Paramilitares,2,Itinerario de la Represión Oficial y Militar en 1981. Pp.30,,,,,,
27,12,1981,Cundinamarca,Yacopí,,Grupos Paramilitares,Grupos Paramilitares,3,Itinerario de la Represión Oficial y Militar en 1981. Pp.30,,,,,,
31,12,1981,Huila,Neiva ,El Pato,Fuerza Pública,Ejército Nacional,1,Itinerario de la Represión Oficial y Militar en 1981. Pp.30,,,,,,
3,1,1982, Antioquia,Medellín,,Grupos Paramilitares,Grupos Paramilitares,1,Itinerario  de la Represión Oficial, Militar y Paramilitar. Pág. 2,,,,,,
6,1,1982, Antioquia,Medellín,, Grupos Paramilitares, Grupos Paramilitares,1,Itinerario  de la Represión Oficial, Militar y Paramilitar. Pág. 2,,,,,,
6,1,1982, Antioquia,Medellín,, Grupos Paramilitares, Grupos Paramilitares,1,Itinerario  de la Represión Oficial, Militar y Paramilitar. Pág. 2,,,,,,
7,1,1982,Caquetá,Solita,,Grupos Paramilitares,Grupos Paramilitares,1,Itinerario  de la Represión Oficial, Militar y Paramilitar. Pág. 2,,,,,,
8,1,1982,Caquetá,Curillo,,Grupos Paramilitares,Grupos Paramilitares,1,Itinerario  de la Represión Oficial, Militar y Paramilitar. Pág. 2,,,,,,
10,1,1982,Valle del Cauca,Cartago,,Grupo Armado No Identificado,Grupo Armado No Identificado,1,Itinerario  de la Represión Oficial, Militar y Paramilitar. Pág. 2,,,,,,
11,1,1982, Antioquia,Puerto Berrío,Vereda La Carlota,Grupos Paramilitares,Grupos Paramilitares,1,Itinerario  de la Represión Oficial, Militar y Paramilitar. Pág. 2,,,,,,
12,1,1982,Caquetá,Solita,,Fuerza Pública,Ejército Nacional,1,Itinerario  de la Represión Oficial, Militar y Paramilitar. Pág. 2,,,,,,
13,1,1982,Cundinamarca,Yacopí,,Fuerza Pública,Ejército Nacional,1,Itinerario  de la Represión Oficial, Militar y Paramilitar. Pág. 2,,,,,,
20,1,1982,Santander,Landázuri,,Grupo Armado No Identificado,Grupo Armado No Identificado,1,Itinerario  de la Represión Oficial, Militar y Paramilitar. Pág. 2,,,,,,
21,1,1982,Córdoba,Montería,,Grupo Armado No Identificado,Grupo Armado No Identificado,1,Itinerario  de la Represión Oficial, Militar y Paramilitar. Pág. 3,,,,,,
21,1,1982,Santander,San Vicente de Chucuri,,Grupos Paramilitares,Grupos Paramilitares,1,Itinerario  de la Represión Oficial, Militar y Paramilitar. Pág. 3,,,,,,
31,1,1982,Cundinamarca,Yacopí,Vereda Las Palmas y Vereda Alto Viento,Fuerza Pública,Ejército Nacional,3,Itinerario  de la Represión Oficial, Militar y Paramilitar. Pág. 4,,,,,,
3,2,1982, Antioquia,Medellín,Cabecera Municipal, Grupos Paramilitares, Grupos Paramilitares,2,Itinerario  de la Represión Oficial, Militar y Paramilitar. Pág. 4,,,,,,
3,2,1982,Cundinamarca,Zipaquirá,Cabecera Municipal,Grupo Armado No Identificado,Grupo Armado No Identificado,1,Itinerario  de la Represión Oficial, Militar y Paramilitar. Pág. 4,,,,,,
3,2,1982,Caquetá,Solita,Vereda El Canelo,Grupos Paramilitares,Grupos Paramilitares,2,Itinerario  de la Represión Oficial, Militar y Paramilitar. Pág. 4,,,,,,
4,2,1982,Caquetá,Florencia,Vereda Consolata,Grupos Paramilitares,Grupos Paramilitares,1,Itinerario  de la Represión Oficial, Militar y Paramilitar. Pág. 5,,,,,,
4,2,1982,Magdalena ,Chivolo,,Fuerza Pública,Policía Nacional,2,Itinerario  de la Represión Oficial, Militar y Paramilitar. Pág. 5,,,,,,
6,2,1982,Distrito Capital,Bogotá D.C.,, Grupos Paramilitares, Grupos Paramilitares,1,Itinerario  de la Represión Oficial, Militar y Paramilitar. Pág. 5,,,,,,
7,2,1982,Caquetá,Maticurí,,Grupos Paramilitares,Grupos Paramilitares,2,Itinerario  de la Represión Oficial, Militar y Paramilitar. Pág. 5,,,,,,
8,2,1982,Cundinamarca,Yacopí,Cabecera Municipal,Fuerza Pública,Ejército Nacional,1,Itinerario  de la Represión Oficial, Militar y Paramilitar. Pág. 5,,,,,,
8,2,1982,Caquetá,San Vicente del Caguán,Remolino,Grupos Paramilitares,Grupos Paramilitares,1,Itinerario  de la Represión Oficial, Militar y Paramilitar. Pág. 5,,,,,,
10,2,1982, Antioquia,Caracolí,,Fuerza Pública,Ejército Nacional,1,Itinerario  de la Represión Oficial, Militar y Paramilitar. Pág. 5,,,,,,
10,2,1982,Santander,San Vicente de Chucuri,,Grupo Armado No Identificado,Grupo Armado No Identificado,1,Itinerario  de la Represión Oficial, Militar y Paramilitar. Pág. 6,,,,,,
10,2,1982,Valle del Cauca,Cali,,Grupo Armado No Identificado,Grupo Armado No Identificado,1,Itinerario  de la Represión Oficial, Militar y Paramilitar. Pág. 6,,,,,,
11,2,1982,Boyacá,,,Fuerza Pública,Ejército Nacional,1,Itinerario  de la Represión Oficial, Militar y Paramilitar. Pág. 6,,,,,,
14,2,1982,Cundinamarca,Yacopí,,Fuerza Pública,Ejército Nacional,2,Itinerario  de la Represión Oficial, Militar y Paramilitar. Pág. 6,,,,,,
15,2,1982,Cundinamarca,Yacopí,Vereda Guadualito,Fuerza Pública,Ejército Nacional,2,Itinerario  de la Represión Oficial, Militar y Paramilitar. Pág. 6,,,,,,
18,2,1982,Distrito Capital,Bogotá D.C.,, Grupos Paramilitares, Grupos Paramilitares,1,Itinerario  de la Represión Oficial, Militar y Paramilitar. Pág. 7,,,,,,
18,2,1982,Boyacá,Puerto Boyacá,Vereda El Pescado,Fuerza Pública,Ejército Nacional,2,Itinerario  de la Represión Oficial, Militar y Paramilitar. Pág. 7,,,,,,
18,2,1982,Distrito Capital,Bogotá D.C.,,Fuerza Pública,Policía Nacional,1,Itinerario  de la Represión Oficial, Militar y Paramilitar. Pág. 6,,,,,,
24,2,1982,Putumayo,Mocoa,,Fuerza Pública,Ejército Nacional,1,Itinerario  de la Represión Oficial, Militar y Paramilitar. Pág. 7,,,,,,
28,2,1982, Antioquia,Tarazá,,Grupo Armado No Identificado,Grupo Armado No Identificado,2,Itinerario  de la Represión Oficial, Militar y Paramilitar. Pág. 7,,,,,,
9,3,1982,Distrito Capital,Bogotá D.C.,, Grupos Paramilitares, Grupos Paramilitares,1,Itinerario  de la Represión Oficial, Militar y Paramilitar. Pág. 8,,,,,,
11,3,1982,Distrito Capital,Bogotá D.C.,Sitio Alto de San Miguel, Grupos Paramilitares, Grupos Paramilitares,1,Itinerario  de la Represión Oficial, Militar y Paramilitar. Pág. 9,,,,,,
11,3,1982,Cauca,Popayán,,Fuerza Pública,Ejército Nacional,2,Itinerario  de la Represión Oficial, Militar y Paramilitar. Pág. 9,,,,,,
19,3,1982,Caquetá,Belén de los Andaquíes,,Fuerza Pública,Ejército Nacional,2,Itinerario  de la Represión Oficial, Militar y Paramilitar. Pág. 10,,,,,,
23,3,1982,Boyacá,Puerto Boyacá,,Fuerza Pública,Ejército Nacional,1,Itinerario  de la Represión Oficial, Militar y Paramilitar. Pág. 10,,,,,,
23,3,1982,Valle del Cauca,Cali,,Grupos Paramilitares,Grupos Paramilitares,1,Itinerario  de la Represión Oficial, Militar y Paramilitar. Pág. 10,,,,,,
26,3,1982,Valle del Cauca,Cali,,Fuerza Pública,Policía Nacional,2,Itinerario  de la Represión Oficial, Militar y Paramilitar. Pág. 11,,,,,,
27,3,1982,Santander,Cimitarra,Vereda Dos Hermanos,Fuerza Pública,Ejército Nacional,1,Itinerario  de la Represión Oficial, Militar y Paramilitar. Pág. 11,,,,,,
29,3,1982, Antioquia,Caucasia,,Fuerza Pública,Policía Nacional,1,Itinerario  de la Represión Oficial, Militar y Paramilitar. Pág. 11,,,,,,
30,3,1982,Boyacá,Puerto Boyacá,Cabecera Municipal,Grupos Paramilitares,Grupos Paramilitares,1,Itinerario  de la Represión Oficial, Militar y Paramilitar. Pág. 12,,,,,,
1,4,1982,Caquetá,El Paujil,Vereda Arabia,Grupos Paramilitares,Grupos Paramilitares,1,Itinerario  de la Represión Oficial, Militar y Paramilitar. Pág. 12,,,,,,
7,4,1982,Meta,San Martín,, Grupos Paramilitares, Grupos Paramilitares,1,Itinerario  de la Represión Oficial, Militar y Paramilitar. Pág. 12,,,,,,
7,4,1982,Atlántico,Sabanagrande,,Grupos Paramilitares,Grupos Paramilitares,1,Itinerario  de la Represión Oficial, Militar y Paramilitar. Pág. 12,,,,,,
10,4,1982,Santander,Barrancabermeja,,Fuerza Pública,Ejército Nacional,1,Itinerario  de la Represión Oficial, Militar y Paramilitar. Pág. 12,,,,,,
15,4,1982,Caquetá,Puerto Rico,,Fuerza Pública,Ejército Nacional,1,Itinerario  de la Represión Oficial, Militar y Paramilitar. Pág. 13,,,,,,
18,4,1982,Caquetá,El Paujil,Vereda Bolivia,Grupos Paramilitares,Grupos Paramilitares,1,Itinerario  de la Represión Oficial, Militar y Paramilitar. Pág. 13,,,,,,
24,4,1982,Huila ,Garzón,,Fuerza Pública,Ejército Nacional,1,Itinerario  de la Represión Oficial, Militar y Paramilitar. Pág. 14,,,,,,
4,5,1982,Putumayo,Puerto Asís,,Fuerza Pública,Ejército Nacional,1,Itinerario  de la Represión Oficial, Militar y Paramilitar. Pág. 15,,,,,,
4,5,1982,Valle del Cauca,Cali,,Fuerza Pública,Policía Nacional,1,Itinerario  de la Represión Oficial, Militar y Paramilitar. Pág. 15,,,,,,
6,5,1982,Caldas,Manizales,,Fuerza Pública,Policía Nacional,1,Itinerario  de la Represión Oficial, Militar y Paramilitar. Pág. 15,,,,,,
14,5,1982,Huila ,Neiva,Cabecera Municipal,Fuerza Pública,Ejército Nacional,1,Itinerario  de la Represión Oficial, Militar y Paramilitar. Pág. 16,,,,,,
17,5,1982,Huila ,Algeciras,,Fuerza Pública,Policía Nacional,1,Itinerario  de la Represión Oficial, Militar y Paramilitar. Pág. 16,,,,,,
18,5,1982, Antioquia,Mutatá,Corregimiento Vagirá,Fuerza Pública,Ejército Nacional,3,Itinerario  de la Represión Oficial, Militar y Paramilitar. Pág. 16,,,,,,
20,5,1982,Santander,Cimitarra,,Grupos Paramilitares,Grupos Paramilitares,3,Itinerario  de la Represión Oficial, Militar y Paramilitar. Pág. 16,,,,,,
21,5,1982,Boyacá,Puerto Boyacá,,Grupos Paramilitares,Grupos Paramilitares,1,Itinerario  de la Represión Oficial, Militar y Paramilitar. Pág. 17,,,,,,
26,5,1982,Cundinamarca,Chocontá,, Grupos Paramilitares, Grupos Paramilitares,2,Itinerario  de la Represión Oficial, Militar y Paramilitar. Pág. 17,,,,,,
26,5,1982,Cesar,Aguachica,,Fuerza Pública,Policía Nacional,1,Itinerario  de la Represión Oficial, Militar y Paramilitar. Pág. 17,,,,,,
31,5,1982, Antioquia,Medellín,,Grupo Armado No Identificado,Grupo Armado No Identificado,1,Itinerario  de la Represión Oficial, Militar y Paramilitar. Pág. 18,,,,,,
1,6,1982,Distrito Capital,Bogotá D.C.,Cabecera Municipal - Barrio Venecia,Fuerza Pública,Policía Nacional,1,Itinerario  de la Represión Oficial, Militar y Paramilitar. Pág. 19,,,,,,
6,6,1982,Tolima ,Líbano,Cabecera Municipal,Fuerza Pública,Policía Nacional,1,Itinerario  de la Represión Oficial, Militar y Paramilitar. Pág. 20,,,,,,
11,6,1982,Caquetá,El Doncello,,Fuerza Pública,Ejército Nacional,3,Itinerario  de la Represión Oficial, Militar y Paramilitar. Pág. 20,,,,,,
14,6,1982, Antioquia,Puerto Berrío,, Grupos Paramilitares, Grupos Paramilitares,1,Itinerario  de la Represión Oficial, Militar y Paramilitar. Pág. 20,,,,,,
14,6,1982,Caquetá,Florencia,,Fuerza Pública,Ejército Nacional,3,Itinerario  de la Represión Oficial, Militar y Paramilitar. Pág. 20,,,,,,
18,6,1982,Distrito Capital,Bogotá D.C.,Lesionado,Fuerza Pública,Ejército Nacional,1,Itinerario  de la Represión Oficial, Militar y Paramilitar. Pág. 21,,,,,,
19,6,1982,Tolima ,Guamo,,Grupos Paramilitares,Grupos Paramilitares,1,Itinerario  de la Represión Oficial, Militar y Paramilitar. Pág. 21,,,,,,
20,6,1982,Santander,Cimitarra,,Grupo Armado No Identificado,Grupo Armado No Identificado,3,Itinerario  de la Represión Oficial, Militar y Paramilitar. Pág. 21,,,,,,
29,6,1982,Santander,Sucre,Sitio Sabanagrande,Grupos Paramilitares,Grupos Paramilitares,2,Itinerario  de la Represión Oficial, Militar y Paramilitar. Pág. 21,,,,,,
